archivo,origen,diapositiva_sugerida,uso_recomendado,nota
05_capturas_web_gerente/02_dashboard_gerencial.png,Capturas Sistema web/Gerente/Captura de pantalla 2026-06-03 172003.png,16 - Implementación web,Dashboard gerencial,"Para indicadores básicos, no BI avanzado."
05_capturas_web_gerente/03_historial_jornadas_gerente.png,Capturas Sistema web/Gerente/Captura de pantalla 2026-06-03 172016.png,16 - Implementación web,Historial/resumen de jornadas,"Usar como seguimiento, no tracking en vivo."
05_capturas_web_gerente/04_observacion_conductor_gerente.png,Capturas Sistema web/Gerente/Captura de pantalla 2026-06-03 172035.png,16 - Implementación web,Observación de conductor,Opcional; muestra detalle operativo.
05_capturas_web_gerente/05_seguimiento_jornadas_gerente.png,Capturas Sistema web/Gerente/Captura de pantalla 2026-06-03 172059.png,16 - Implementación web,Seguimiento de jornadas,Recomendado frente a registrar nueva jornada.
06_capturas_web_chofer/01_dashboard_chofer_web.png,Capturas Sistema web/Chofer/Captura de pantalla 2026-06-03 172315.png,16 - Implementación web,Panel web del chofer como respaldo,Aclarar que no reemplaza la app móvil.
06_capturas_web_chofer/02_jornada_chofer_web.png,Capturas Sistema web/Chofer/Captura de pantalla 2026-06-03 172401.png,16 - Implementación web,Jornada actual web chofer,Opcional.
06_capturas_web_chofer/03_sos_panico_chofer_web.png,Capturas Sistema web/Chofer/Captura de pantalla 2026-06-03 172453.png,16 - Implementación web / 18 Alertas,SOS desde panel web chofer,Canal secundario.
06_capturas_web_chofer/04_finalizar_turno_chofer_web.png,Capturas Sistema web/Chofer/Captura de pantalla 2026-06-03 172604.png,16 - Implementación web,Finalización de turno con observación,Canal secundario o respaldo.
07_diseno_ux_referencia/01_ux_web_dashboard_chofer.png,"Dise#U00f1o UX/ChatGPT Image 3 jun 2026, 19_26_50 (2).png",13 - Diseño UX y Figma,Diseño UX web chofer,"Rotular como diseño/prototipo, no implementación real."
07_diseno_ux_referencia/02_ux_web_modal_sos.png,"Dise#U00f1o UX/ChatGPT Image 3 jun 2026, 19_26_51 (3).png",13 - Diseño UX y Figma,Diseño UX modal SOS,Rotular como diseño/prototipo.
07_diseno_ux_referencia/03_ux_web_modal_auxilio.png,"Dise#U00f1o UX/ChatGPT Image 3 jun 2026, 19_26_55 (1).png",13 - Diseño UX y Figma,Diseño UX auxilio mecánico,Rotular como diseño/prototipo.
07_diseno_ux_referencia/04_ux_movil_jornada_asignada.png,"Dise#U00f1o UX/ChatGPT Image 3 jun 2026, 19_26_56 (2).png",13 - Diseño UX y Figma,Diseño UX móvil jornada,Rotular como diseño/prototipo.
07_diseno_ux_referencia/05_ux_movil_sincronizacion_completada.png,"Dise#U00f1o UX/ChatGPT Image 3 jun 2026, 19_27_05 (1).png",13 - Diseño UX y Figma / 17 App móvil,Diseño UX sync móvil,Rotular como prototipo o evidencia UX.
07_diseno_ux_referencia/06_ux_web_consulta_conductores.png,"Dise#U00f1o UX/ChatGPT Image 3 jun 2026, 19_36_59.png",13 - Diseño UX y Figma,Diseño UX consulta conductores,"Usar solo si se necesita una pantalla limpia de consulta, no como implementación."
08_pruebas_qa/01_collage_evidencias_qa.png,Pruebas QA/01_FIGURA_10_EVIDENCIAS_PRUEBAS/00_collage_figura_10_QA_V4.png,19 - Pruebas y validaciones,Collage principal de pruebas QA,Recomendado como figura principal de QA.
08_pruebas_qa/02_matriz_pruebas_auth_jornadas.png,Pruebas QA/01_FIGURA_10_EVIDENCIAS_PRUEBAS/02_matriz_pruebas_unitarias_sprint1_auth_jornadas.png,19 - Pruebas y validaciones,Matriz de pruebas auth/jornadas,Opcional si se quiere detallar pruebas.
08_pruebas_qa/03_defecto_integracion_api_jornadas_401.png,Pruebas QA/01_FIGURA_10_EVIDENCIAS_PRUEBAS/05_defecto_integracion_api_jornadas_401.png,19 - Pruebas y validaciones,Evidencia de defecto/integración detectado,Usar si se quiere demostrar QA real con hallazgos; no como falla final del MVP.
08_pruebas_qa/04_klaros_perfil_conductor_casos.png,Pruebas QA/01_FIGURA_10_EVIDENCIAS_PRUEBAS/06_klaros_sprint3_hu20_perfil_conductor_casos.png,19 - Pruebas y validaciones,Casos QA de perfil/conductor,Opcional.
09_referencias_consulta/NANUTECH_Matriz_Modulo_Dato_MVP.docx,Otras Evidencias/NANUTECH_Matriz_Modulo_Dato_MVP.docx,Referencia para contenido / anexos,Documento de consulta para construir o justificar diapositivas,No insertar completo como imagen; usarlo como respaldo.
09_referencias_consulta/NANUTECH_Reglas_Alcance_MVP.docx,Otras Evidencias/NANUTECH_Reglas_Alcance_MVP.docx,Referencia para contenido / anexos,Documento de consulta para construir o justificar diapositivas,No insertar completo como imagen; usarlo como respaldo.
09_referencias_consulta/NANUTECH_Tablas_Tecnicas_MVP.xlsx,Otras Evidencias/NANUTECH_Tablas_Tecnicas_MVP.xlsx,Referencia para contenido / anexos,Documento de consulta para construir o justificar diapositivas,No insertar completo como imagen; usarlo como respaldo.
09_referencias_consulta/README_original_figuras.txt,Otras Evidencias/README.txt,Referencia para contenido / anexos,Documento de consulta para construir o justificar diapositivas,No insertar completo como imagen; usarlo como respaldo.
09_referencias_consulta/INDICE_CAPTURAS_QA_V4.csv,Pruebas QA/00_INDICE_CAPTURAS_QA_V4.csv,Referencia para contenido / anexos,Documento de consulta para construir o justificar diapositivas,No insertar completo como imagen; usarlo como respaldo.
09_referencias_consulta/LEEME_QA_ORIGINAL.txt,Pruebas QA/00_LEEME_PRIMERO.txt,Referencia para contenido / anexos,Documento de consulta para construir o justificar diapositivas,No insertar completo como imagen; usarlo como respaldo.
10_fuentes_editables_drawio/01_arquitectura_general_mvp.drawio,Diagramas - Arquitectura/drawio/01_arquitectura_general_mvp.drawio,Fuente editable,Editar diagrama si se requiere,Usar PNG en presentación; drawio solo para edición.
10_fuentes_editables_drawio/02_vista_roles_modulos.drawio,Diagramas - Arquitectura/drawio/02_vista_roles_modulos.drawio,Fuente editable,Editar diagrama si se requiere,Usar PNG en presentación; drawio solo para edición.
10_fuentes_editables_drawio/03_arquitectura_aws_preparada.drawio,Diagramas - Arquitectura/drawio/03_arquitectura_aws_preparada.drawio,Fuente editable,Editar diagrama si se requiere,Usar PNG en presentación; drawio solo para edición.
10_fuentes_editables_drawio/05_flujo_sos_auxilio.drawio,Diagramas - Arquitectura/drawio/05_flujo_sos_auxilio.drawio,Fuente editable,Editar diagrama si se requiere,Usar PNG en presentación; drawio solo para edición.
10_fuentes_editables_drawio/07_sync_offline_basica.drawio,Diagramas - Arquitectura/drawio/07_sync_offline_basica.drawio,Fuente editable,Editar diagrama si se requiere,Usar PNG en presentación; drawio solo para edición.
10_fuentes_editables_drawio/10_trazabilidad_resumida_mvp.drawio,Diagramas - Arquitectura/drawio/10_trazabilidad_resumida_mvp.drawio,Fuente editable,Editar diagrama si se requiere,Usar PNG en presentación; drawio solo para edición.
10_fuentes_editables_drawio/11_mapa_rol_modulo_api_dato.drawio,Diagramas - Arquitectura/drawio/11_mapa_rol_modulo_api_dato.drawio,Fuente editable,Editar diagrama si se requiere,Usar PNG en presentación; drawio solo para edición.
